sexo,ano,mes,saldo
1,2020,1,77548
3,2020,1,15123
1,2020,2,101306
3,2020,2,97066
1,2020,3,-118913
3,2020,3,-113398
1,2020,4,-506522
3,2020,4,-395795
1,2020,5,-197682
3,2020,5,-155180
1,2020,6,21370
3,2020,6,-44614
1,2020,7,115465
3,2020,7,7833
1,2020,8,185972
3,2020,8,52145
1,2020,9,219655
3,2020,9,93904
1,2020,10,231844
3,2020,10,157096
1,2020,11,190391
3,2020,11,218547
1,2020,12,-77084
3,2020,12,-5034
1,2021,1,169293
3,2021,1,87749
1,2021,2,221128
3,2021,2,176732
1,2021,3,106393
3,2021,3,69919
1,2021,4,76177
3,2021,4,37695
1,2021,5,155031
3,2021,5,123644
1,2021,6,172769
3,2021,6,137265
1,2021,7,182224
3,2021,7,134501
1,2021,8,199238
3,2021,8,174102
1,2021,9,175936
3,2021,9,141040
1,2021,10,105209
3,2021,10,146881
1,2021,11,126299
3,2021,11,197393
1,2021,12,-164033
3,2021,12,-101643
1,2022,1,107687
3,2022,1,45418
1,2022,2,152996
3,2022,2,174086
1,2022,3,63549
3,2022,3,70512
1,2022,4,111067
3,2022,4,82748
1,2022,5,159644
3,2022,5,112703
1,2022,6,162889
3,2022,6,114278
1,2022,7,136766
3,2022,7,81390
1,2022,8,168716
3,2022,8,109770
1,2022,9,169142
3,2022,9,108772
1,2022,10,71978
3,2022,10,87904
1,2022,11,22177
3,2022,11,114232
1,2022,12,-251885
3,2022,12,-178371
1,2023,1,77630
3,2023,1,54
1,2023,2,114225
3,2023,2,125238
1,2023,3,113409
3,2023,3,84033
1,2023,4,108347
3,2023,4,72838
1,2023,5,88601
3,2023,5,64798
1,2023,6,99546
3,2023,6,55398
1,2023,7,98598
3,2023,7,44003
1,2023,8,129484
3,2023,8,92856